BEN,Billed Entity Name,City,State,Applicant Type,C2 Budget Cycle,Child Entity Count,Library Square Footage,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
133447,WASHBURN PUBLIC LIBRARY,WASHBURN,WI,Library,FY2021-2025,0,"4,845",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132719,CEDAR GROVE PUBLIC LIBRARY,CEDAR GROVE,WI,Library,FY2021-2025,0,"10,997",$4.50,"$49,486.50",Forecast,$0.00,$0.00,"$49,486.50"
133173,KEWAUNEE PUBLIC LIBRARY,KEWAUNEE,WI,Library,FY2021-2025,0,"5,000",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133088,REEDSBURG PUBLIC LIBRARY,REEDSBURG,WI,Library,FY2021-2025,0,"15,400",$4.50,"$69,300.00",Forecast,$0.00,$0.00,"$69,300.00"
207714,NEUSCHAFER COMMUNITY LIBRARY,FREMONT,WI,Library,FY2021-2025,0,"1,480",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132892,NORTH SHORE LIBRARY,MILWAUKEE,WI,Library,FY2021-2025,0,"16,160",$4.50,"$72,720.00",Forecast,$0.00,$0.00,"$72,720.00"
133126,BLACK CREEK VILLAGE LIBRARY,BLACK CREEK,WI,Library,FY2021-2025,0,"5,650",$4.50,"$25,425.00",Forecast,$0.00,$0.00,"$25,425.00"
132795,FRANK L. WEYENBERG LIBRARY,MEQUON,WI,Library,FY2021-2025,0,"33,600",$4.50,"$151,200.00",Forecast,$0.00,$0.00,"$151,200.00"
133160,MUEHL-SEYMOUR PUBLIC LIBRARY,SEYMOUR,WI,Library,FY2021-2025,0,"6,688",$4.50,"$30,096.00",Forecast,$0.00,$0.00,"$30,096.00"
132744,JOHNSON CREEK PUBLIC LIBRARY,JOHNSON CREEK,WI,Library,FY2021-2025,0,"3,276",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
178472,MONROE PUBLIC LIBRARY,MONROE,WI,Library,FY2021-2025,0,"22,420",$4.50,"$100,890.00",Forecast,$0.00,$0.00,"$100,890.00"
203758,KARL JUNGINGER MEMORIAL LIBRARY,WATERLOO,WI,Library,FY2021-2025,0,"13,580",$4.50,"$61,110.00",Forecast,$0.00,$0.00,"$61,110.00"
133213,WESTERN TAYLOR CO LIBRARY,GILMAN,WI,Library,FY2021-2025,0,996,$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132888,WAUWATOSA PUBLIC LIBRARY,WAUWATOSA,WI,Library,FY2021-2025,0,"52,000",$4.50,"$234,000.00",Forecast,$0.00,$0.00,"$234,000.00"
133141,KAUKAUNA PUBLIC LIBRARY,KAUKAUNA,WI,Library,FY2021-2025,0,"10,500",$4.50,"$47,250.00",Forecast,$0.00,$0.00,"$47,250.00"
133085,HUTCHINSON MEMORIAL LIBRARY,RANDOLPH,WI,Library,FY2021-2025,0,"10,068",$4.50,"$45,306.00",Forecast,$0.00,$0.00,"$45,306.00"
17034242,TED & GRACE BACHHUBER MEMORIAL LIBRARY,MAYVILLE,WI,Library,FY2021-2025,0,"35,000",$4.50,"$157,500.00",Forecast,$0.00,$0.00,"$157,500.00"
156134,OCONTO FALLS COMMUNITY LIBRARY,OCONTO FALLS,WI,Library,FY2021-2025,0,"9,600",$4.50,"$43,200.00",Forecast,$0.00,$0.00,"$43,200.00"
227890,JOAN SALMAN MEMORIAL LIBRARY,SOLON SPRINGS,WI,Library,FY2021-2025,0,474,$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132897,BROWN DEER PUBLIC LIBRARY,BROWN DEER,WI,Library,FY2021-2025,0,"15,000",$4.50,"$67,500.00",Forecast,$0.00,$0.00,"$67,500.00"
132749,KEWASKUM PUBLIC LIBRARY,KEWASKUM,WI,Library,FY2021-2025,0,"3,500",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132989,KRAEMER LIBRARY & COMMUNITY CENTER,PLAIN,WI,Library,FY2021-2025,0,"7,500",$4.50,"$33,750.00",Forecast,$0.00,$0.00,"$33,750.00"
132946,EAGER FREE PUBLIC LIBRARY,EVANSVILLE,WI,Library,FY2021-2025,0,"6,785",$4.50,"$30,532.50",Forecast,$0.00,$0.00,"$30,532.50"
