BEN,Billed Entity Name,City,State,Applicant Type,Consulting Firm Name (CRN),C2 Budget Cycle,Child Entity Count,C2 Budget Algorithm,Full Time Students,Library Square Footage,School Student Multiplier,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
132861,UNION GROVE JOINT SD #1,UNION GROVE,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,1,Per Site Basis School District,836,,$201.57 ,,"$168,512.52 ",Forecast,$0.00 ,$0.00 ,"$168,512.52 "
133174,KEWAUNEE SCHOOL DISTRICT,KEWAUNEE,WI,School District,E-RATE ONLINE LLC (16048791),FY2026-2030,3,Per Site Basis School District,835,,$201.57 ,,"$168,310.95 ",Preliminary,$0.00 ,"$104,670.00 ","$63,640.95 "
133230,NEILLSVILLE SCHOOL DISTRICT,NEILLSVILLE,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,825,,$201.57 ,,"$166,295.25 ",Forecast,$0.00 ,$0.00 ,"$166,295.25 "
133131,CRIVITZ SCHOOL DISTRICT,CRIVITZ,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,3,Per Site Basis School District,794,,$201.57 ,,"$166,033.18 ",Forecast,$0.00 ,$0.00 ,"$166,033.18 "
133034,FENNIMORE SCHOOL DISTRICT,FENNIMORE,WI,School District,,FY2026-2030,3,Per Site Basis School District,821,,$201.57 ,,"$165,488.97 ",Forecast,$0.00 ,$0.00 ,"$165,488.97 "
133206,SCHOOL DISTRICT OF AUBURNDALE,AUBURNDALE,WI,School District,CESA 10 (17026442),FY2026-2030,2,Per Site Basis School District,821,,$201.57 ,,"$165,488.97 ",Preliminary,$0.00 ,"$120,698.01 ","$44,790.96 "
133360,CADOTT COMM SCHOOL DISTRICT,CADOTT,WI,School District,CESA 10 (17026442),FY2026-2030,4,Per Site Basis School District,800,,$201.57 ,,"$164,420.62 ",Forecast,$0.00 ,$0.00 ,"$164,420.62 "
132890,FOX POINT-BAYSIDE SCHOOL DISTRICT 2,FOX POINT,WI,School District,"ERateProgram, LLC (16048902)",FY2026-2030,2,Per Site Basis School District,813,,$201.57 ,,"$163,876.41 ",Preliminary,$0.00 ,"$76,893.61 ","$86,982.80 "
60860,ST. JOSEPH CATHOLIC ACADEMY,KENOSHA,WI,School,,FY2026-2030,0,Independent School,813,,$201.57 ,,"$163,876.41 ",Forecast,$0.00 ,$0.00 ,"$163,876.41 "
133423,GRANTSBURG SCHOOL DISTRICT,GRANTSBURG,WI,School District,Cooperative Educational Service Agency 12 (16062644),FY2026-2030,5,Per Site Basis School District,801,,$201.57 ,,"$161,457.57 ",Preliminary,$0.00 ,"$177,331.96 ","($15,874.39)"
132973,MINERAL POINT SCHOOL DISTRICT,MINERAL POINT,WI,School District,"E-Rate 360 Solutions, LLC (16048893); Infinity Communications and Compliance, Inc. (16043605)",FY2026-2030,3,Per Site Basis School District,800,,$201.57 ,,"$161,256.00 ",Preliminary,$0.00 ,"$123,000.00 ","$38,256.00 "
133246,STRATFORD SCHOOL DISTRICT,STRATFORD,WI,School District,,FY2026-2030,3,Per Site Basis School District,799,,$201.57 ,,"$161,054.43 ",Forecast,$0.00 ,$0.00 ,"$161,054.43 "
132741,HORICON SCHOOL DISTRICT,HORICON,WI,School District,,FY2026-2030,1,Per Site Basis School District,788,,$201.57 ,,"$158,837.16 ",Forecast,$0.00 ,$0.00 ,"$158,837.16 "
16051498,CHEQUAMEGON SCHOOL DISTRICT,PARK FALLS,WI,School District,Cooperative Educational Service Agency 12 (16062644),FY2026-2030,5,Per Site Basis School District,639,,$201.57 ,,"$158,313.02 ",Forecast,$0.00 ,$0.00 ,"$158,313.02 "
132967,WISCONSIN HEIGHTS SCHOOL DIST,MAZOMANIE,WI,School District,Epic Communications (16048924),FY2026-2030,3,Per Site Basis School District,782,,$201.57 ,,"$157,627.74 ",Forecast,$0.00 ,$0.00 ,"$157,627.74 "
231577,NEWMAN CATHOLIC SCHOOLS,WAUSAU,WI,School District,CESA 9 (16062593),FY2026-2030,6,Per Site Basis School District,512,,$201.57 ,,"$156,982.60 ",Forecast,$0.00 ,$0.00 ,"$156,982.60 "
133127,BONDUEL SCHOOL DISTRICT,BONDUEL,WI,School District,,FY2026-2030,3,Per Site Basis School District,775,,$201.57 ,,"$156,216.75 ",Forecast,$0.00 ,$0.00 ,"$156,216.75 "
