BEN,Billed Entity Name,City,State,Applicant Type,Consulting Firm Name (CRN),C2 Budget Cycle,Child Entity Count,C2 Budget Algorithm,Full Time Students,Library Square Footage,School Student Multiplier,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
133063,ROYALL SCHOOL DISTRICT,ELROY,WI,School District,Educational Consortium for Telecom Savings (16024807),FY2026-2030,4,Per Site Basis School District,514,,$201.57 ,,"$125,053.97 ",Forecast,$0.00 ,$0.00 ,"$125,053.97 "
133479,MANAWA SCHOOL DISTRICT,MANAWA,WI,School District,"Communications Audit Services (17021966); e2e Exchange, LLC (16043595)",FY2026-2030,2,Per Site Basis School District,620,,$201.57 ,,"$124,973.40 ",Forecast,$0.00 ,$0.00 ,"$124,973.40 "
133242,SPENCER SCHOOL DISTRICT,SPENCER,WI,School District,CESA 10 (17026442),FY2026-2030,2,Per Site Basis School District,619,,$201.57 ,,"$124,771.83 ",Forecast,$0.00 ,$0.00 ,"$124,771.83 "
133449,WEBSTER SCHOOL DISTRICT,WEBSTER,WI,School District,,FY2026-2030,3,Per Site Basis School District,618,,$201.57 ,,"$124,570.26 ",Forecast,$0.00 ,$0.00 ,"$124,570.26 "
60987,CATHOLIC MEMORIAL HIGH SCHOOL,WAUKESHA,WI,School,Funds for Learning (16024808),FY2026-2030,0,Independent School,617,,$201.57 ,,"$124,368.69 ",Forecast,$0.00 ,$0.00 ,"$124,368.69 "
133448,WASHBURN SCHOOL DISTRICT,WASHBURN,WI,School District,Cooperative Educational Service Agency 12 (16062644),FY2026-2030,3,Per Site Basis School District,547,,$201.57 ,,"$124,308.19 ",Preliminary,$0.00 ,"$13,242.00 ","$111,066.19 "
133294,THREE LAKES SCHOOL DISTRICT,THREE LAKES,WI,School District,,FY2026-2030,4,Per Site Basis School District,500,,$201.57 ,,"$124,046.12 ",Forecast,$0.00 ,$0.00 ,"$124,046.12 "
226472,ATLAS PREPARATORY ACADEMY,MILWAUKEE,WI,School,,FY2026-2030,0,Independent School,611,,$201.57 ,,"$123,159.27 ",Forecast,$0.00 ,$0.00 ,"$123,159.27 "
133314,COCHRANE-FOUNTAIN CITY SCHOOL DISTRICT,FOUNTAIN CITY,WI,School District,"Dakota Academic Consulting, Inc. (16062227); E-Rate Funding Services, LLC (16082747)",FY2026-2030,2,Per Site Basis School District,607,,$201.57 ,,"$122,352.99 ",Forecast,$0.00 ,$0.00 ,"$122,352.99 "
133104,CLEAR LAKE SCHOOL DISTRICT,CLEAR LAKE,WI,School District,CESA #11 (17000269),FY2026-2030,3,Per Site Basis School District,527,,$201.57 ,,"$121,889.35 ",Preliminary,$0.00 ,"$6,925.60 ","$114,963.75 "
133439,SCHOOL DISTRICT OF SHELL LAKE,SHELL LAKE,WI,School District,CESA #11 (17000269),FY2026-2030,3,Per Site Basis School District,584,,$201.57 ,,"$121,486.21 ",Forecast,$0.00 ,$0.00 ,"$121,486.21 "
133311,BLAIR TAYLOR SCHOOL DISTRICT,BLAIR,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,601,,$201.57 ,,"$121,143.57 ",Forecast,$0.00 ,$0.00 ,"$121,143.57 "
133476,IOLA-SCANDINAVIA SCHOOL DIST,IOLA,WI,School District,,FY2026-2030,2,Per Site Basis School District,600,,$201.57 ,,"$120,942.00 ",Forecast,$0.00 ,$0.00 ,"$120,942.00 "
61788,EDGEWOOD HIGH SCHOOL,MADISON,WI,School,"ERateProgram, LLC (16048902)",FY2026-2030,0,Independent School,599,,$201.57 ,,"$120,740.43 ",Preliminary,$0.00 ,"$10,709.20 ","$110,031.23 "
61090,ST THOMAS MORE HIGH SCHOOL,MILWAUKEE,WI,School,"ERateProgram, LLC (16048902)",FY2026-2030,0,Independent School,599,,$201.57 ,,"$120,740.43 ",Forecast,$0.00 ,$0.00 ,"$120,740.43 "
17003006,ASSUMPTION CATHOLIC SCHOOLS,WISCONSIN RAPIDS,WI,School District,CESA 10 (17026442),FY2026-2030,4,School District Wide (Aggregate Funding Floor),409,,$201.57 ,,"$120,700.00 ",Forecast,$0.00 ,$0.00 ,"$120,700.00 "
133205,ATHENS SCHOOL DISTRICT,ATHENS,WI,School District,CESA 10 (17026442),FY2026-2030,4,School District Wide (Aggregate Funding Floor),417,,$201.57 ,,"$120,700.00 ",Preliminary,$0.00 ,"$43,740.00 ","$76,960.00 "
17051720,ADVOCAP,FOND DU LAC,WI,School District,E Rate Solutions Group Inc (16043598),FY2026-2030,4,School District Wide (Aggregate Funding Floor),200,,$201.57 ,,"$120,700.00 ",Forecast,$0.00 ,$0.00 ,"$120,700.00 "
132879,WILLIAMS BAY SCHOOL DISTRICT,WILLIAMS BAY,WI,School District,Educational Consortium for Telecom Savings (16024807),FY2026-2030,3,Per Site Basis School District,594,,$201.57 ,,"$120,679.93 ",Forecast,$0.00 ,$0.00 ,"$120,679.93 "
133211,EDGAR SCHOOL DISTRICT,EDGAR,WI,School District,,FY2026-2030,3,Per Site Basis School District,568,,$201.57 ,,"$120,478.36 ",Forecast,$0.00 ,$0.00 ,"$120,478.36 "
133492,TRI-COUNTY AREA SCHOOLS,PLAINFIELD,WI,School District,Federal Funds Assistant (16062923),FY2026-2030,3,Per Site Basis School District,577,,$201.57 ,,"$119,470.51 ",Forecast,$0.00 ,$0.00 ,"$119,470.51 "
132745,JOHNSON CREEK SCHOOL DISTRICT,JOHNSON CREEK,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,1,Per Site Basis School District,587,,$201.57 ,,"$118,321.59 ",Preliminary,$0.00 ,"$8,551.10 ","$109,770.49 "
133172,GIBRALTAR AREA SCHOOL DISTRICT,FISH CREEK,WI,School District,Educational Consortium for Telecom Savings (16024807),FY2026-2030,3,Per Site Basis School District,547,,$201.57 ,,"$118,261.09 ",Forecast,$0.00 ,$0.00 ,"$118,261.09 "
133304,ALMA CENTER-HUMBIRD MERRILLAN SD,ALMA CENTER,WI,School District,,FY2026-2030,2,Per Site Basis School District,584,,$201.57 ,,"$117,716.88 ",Forecast,$0.00 ,$0.00 ,"$117,716.88 "
16049074,ALL SAINTS CATHOLIC SCHOOL,KENOSHA,WI,School District,Communications Audit Services (17021966); New Hope Technology (16054699),FY2026-2030,1,Per Site Basis School District,580,,$201.57 ,,"$116,910.60 ",Forecast,$0.00 ,$0.00 ,"$116,910.60 "
133140,HILBERT SCHOOL DISTRICT,HILBERT,WI,School District,,FY2026-2030,3,Per Site Basis School District,564,,$201.57 ,,"$116,446.96 ",Forecast,$0.00 ,$0.00 ,"$116,446.96 "
132801,RANDALL CONSOLIDATED SCHOOL JT. #1,BURLINGTON,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,1,Per Site Basis School District,575,,$201.57 ,,"$115,902.75 ",Preliminary,$0.00 ,"$77,978.96 ","$37,923.79 "
133313,DE SOTO AREA SCHOOL DISTRICT,DE SOTO,WI,School District,,FY2026-2030,3,Per Site Basis School District,510,,$201.57 ,,"$115,781.75 ",Forecast,$0.00 ,$0.00 ,"$115,781.75 "
133507,WILD ROSE SCHOOL DISTRICT,WILD ROSE,WI,School District,Federal Funds Assistant (16062923),FY2026-2030,3,Per Site Basis School District,570,,$201.57 ,,"$114,894.90 ",Forecast,$0.00 ,$0.00 ,"$114,894.90 "
132767,OAKFIELD SCHOOL DISTRICT,OAKFIELD,WI,School District,CESA #11 (17000269),FY2026-2030,3,Per Site Basis School District,551,,$201.57 ,,"$114,834.40 ",Forecast,$0.00 ,$0.00 ,"$114,834.40 "
60805,HALES CORNERS LUTHERAN SCHOOL,HALES CORNERS,WI,School,Shauna Wilkins (17025864); Stan Wykosky (16063748),FY2026-2030,0,Independent School,565,,$201.57 ,,"$113,887.05 ",Forecast,$0.00 ,$0.00 ,"$113,887.05 "
133138,GILLETT SCHOOL DISTRICT,GILLETT,WI,School District,"CESA #11 (17000269); e2e Exchange, LLC (16043595)",FY2026-2030,3,Per Site Basis School District,535,,$201.57 ,,"$113,826.55 ",Forecast,$0.00 ,$0.00 ,"$113,826.55 "
133076,SCHOOL DISTRICT OF NEW LISBON,NEW LISBON,WI,School District,"Infinity Communications and Compliance, Inc. (16043605)",FY2026-2030,2,Per Site Basis School District,560,,$201.57 ,,"$112,879.20 ",Forecast,$0.00 ,$0.00 ,"$112,879.20 "
133240,ROSHOLT SCHOOL DISTRICT,ROSHOLT,WI,School District,,FY2026-2030,3,Per Site Basis School District,481,,$201.57 ,,"$112,556.63 ",Forecast,$0.00 ,$0.00 ,"$112,556.63 "
133037,SOUTHWESTERN WISCONSIN SCH D,HAZEL GREEN,WI,School District,AJD Consulting Services (16062967),FY2026-2030,2,Per Site Basis School District,555,,$201.57 ,,"$111,871.35 ",Preliminary,$0.00 ,"$118,034.03 ","($6,162.68)"
133180,REEDSVILLE SCHOOL DISTRICT,REEDSVILLE,WI,School District,,FY2026-2030,2,School District Wide (User Selected Aggregate),552,,$201.57 ,,"$111,266.64 ",Forecast,$0.00 ,$0.00 ,"$111,266.64 "
16045105,GREATER HOLY TEMPLE CHRISTIAN ACADEMY,MILWAUKEE,WI,School,QuinteSystems_Inc. (16062882),FY2026-2030,0,Independent School,549,,$201.57 ,,"$110,661.93 ",Forecast,$0.00 ,$0.00 ,"$110,661.93 "
133271,HURLEY SCHOOL DISTRICT,HURLEY,WI,School District,Cooperative Educational Service Agency 12 (16062644),FY2026-2030,2,Per Site Basis School District,544,,$201.57 ,,"$109,654.08 ",Forecast,$0.00 ,$0.00 ,"$109,654.08 "
62704,LAC DU FLAMBEAU PUBLIC ELEM SCHOOL,LAC DU FLAMBEU,WI,School,CESA 9 (16062593),FY2026-2030,0,Independent School,542,,$201.57 ,,"$109,250.94 ",Forecast,$0.00 ,$0.00 ,"$109,250.94 "
133086,RANDOLPH SCHOOL DISTRICT,RANDOLPH,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,3,Per Site Basis School District,501,,$201.57 ,,"$108,988.87 ",Preliminary,$0.00 ,"$28,014.41 ","$80,974.46 "
17013088,HOLY REDEEMER CHRISTIAN ACADEMY,MILWAUKEE,WI,School,GETFUNDED (16057463),FY2026-2030,0,Independent School,539,,$201.57 ,,"$108,646.23 ",Forecast,$0.00 ,$0.00 ,"$108,646.23 "
133239,RIB LAKE SCHOOL DISTRICT,RIB LAKE,WI,School District,CESA 9 (16062593),FY2026-2030,3,Per Site Basis School District,481,,$201.57 ,,"$108,525.23 ",Preliminary,$0.00 ,"$19,850.15 ","$88,675.08 "
133235,PITTSVILLE SCHOOL DISTRICT,PITTSVILLE,WI,School District,,FY2026-2030,2,Per Site Basis School District,531,,$201.57 ,,"$107,033.67 ",Forecast,$0.00 ,$0.00 ,"$107,033.67 "
132917,BARNEVELD SCHOOL DISTRICT,BARNEVELD,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,443,,$201.57 ,,"$106,509.53 ",Forecast,$0.00 ,$0.00 ,"$106,509.53 "
17000071,MESSMER CATHOLIC SCHOOLS,MILWAUKEE,WI,School District,"ERateProgram, LLC (16048902)",FY2026-2030,1,Per Site Basis School District,528,,$201.57 ,,"$106,428.96 ",Preliminary,$0.00 ,"$6,720.00 ","$99,708.96 "
132725,ELKHART LAKE-GLENBEULAH S D,ELKHART LAKE,WI,School District,,FY2026-2030,3,Per Site Basis School District,518,,$201.57 ,,"$105,360.61 ",Forecast,$0.00 ,$0.00 ,"$105,360.61 "
17012528,NEXT DOOR FOUNDATION,MILWAUKEE,WI,School,"ERateProgram, LLC (16048902)",FY2026-2030,0,Independent School,521,,$201.57 ,,"$105,017.97 ",Forecast,$0.00 ,$0.00 ,"$105,017.97 "
133234,OWEN-WITHEE SCHOOL DISTRICT,OWEN,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,472,,$201.57 ,,"$104,896.97 ",Forecast,$0.00 ,$0.00 ,"$104,896.97 "
133135,FLORENCE CO SCHOOL DISTRICT,FLORENCE,WI,School District,,FY2026-2030,3,Per Site Basis School District,391,,$201.57 ,,"$104,695.40 ",Forecast,$0.00 ,$0.00 ,"$104,695.40 "
133298,WOODRUFF J 1 SCHOOL DISTRICT,ARBOR VITAE,WI,School District,CESA 9 (16062593),FY2026-2030,1,Per Site Basis School District,515,,$201.57 ,,"$103,808.55 ",Preliminary,$0.00 ,"$61,430.32 ","$42,378.23 "
133445,TURTLE LAKE SCHOOL DISTRICT,TURTLE LAKE,WI,School District,,FY2026-2030,3,Per Site Basis School District,430,,$201.57 ,,"$103,687.55 ",Forecast,$0.00 ,$0.00 ,"$103,687.55 "
17004492,"MILWAUKEE EXCELLENCE, INC.",MILWAUKEE,WI,School,QuinteSystems_Inc. (16062882),FY2026-2030,0,Independent School,512,,$201.57 ,,"$103,203.84 ",Forecast,$0.00 ,$0.00 ,"$103,203.84 "
133429,LUCK JOINT SCHOOL DISTRICT,LUCK,WI,School District,CESA #11 (17000269),FY2026-2030,3,Per Site Basis School District,412,,$201.57 ,,"$102,881.27 ",Preliminary,$0.00 ,"$19,118.91 ","$83,762.36 "
133066,FALL RIVER SCHOOL DISTRICT,FALL RIVER,WI,School District,Educational Consortium for Telecom Savings (16024807),FY2026-2030,2,Per Site Basis School District,510,,$201.57 ,,"$102,800.70 ",Forecast,$0.00 ,$0.00 ,"$102,800.70 "
133368,CORNELL SCHOOL DISTRICT,CORNELL,WI,School District,CESA 10 (17026442),FY2026-2030,4,Per Site Basis School District,392,,$201.57 ,,"$102,478.13 ",Preliminary,$0.00 ,"$12,000.00 ","$90,478.13 "
133040,RIVER RIDGE SCHOOL DISTRICT,PATCH GROVE,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,481,,$201.57 ,,"$102,135.49 ",Forecast,$0.00 ,$0.00 ,"$102,135.49 "
133413,BRUCE SCHOOL DISTRICT,BRUCE,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,409,,$201.57 ,,"$101,671.85 ",Preliminary,$0.00 ,"$14,270.35 ","$87,401.50 "
133295,FLAMBEAU SCHOOL DISTRICT,TONY,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,456,,$201.57 ,,"$101,470.28 ",Forecast,$0.00 ,$0.00 ,"$101,470.28 "
133397,THORP SCHOOL DISTRICT,THORP,WI,School District,CESA 10 (17026442),FY2026-2030,2,Per Site Basis School District,501,,$201.57 ,,"$100,986.57 ",Preliminary,$0.00 ,"$21,396.00 ","$79,590.57 "
133220,LOYAL SCHOOL DISTRICT,LOYAL,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,458,,$201.57 ,,"$100,926.07 ",Preliminary,$0.00 ,"$43,426.37 ","$57,499.70 "
133237,PORT EDWARDS SCHOOL DISTRICT,PORT EDWARDS,WI,School District,Federal Funds Assistant (16062923),FY2026-2030,3,Per Site Basis School District,431,,$201.57 ,,"$100,462.43 ",Forecast,$0.00 ,$0.00 ,"$100,462.43 "
17017192,HOLY HILL AREA SCHOOL DISTRICT,RICHFIELD,WI,School District,Communications Audit Services (17021966),FY2026-2030,2,School District Wide (User Selected Aggregate),497,,$201.57 ,,"$100,180.29 ",Forecast,$0.00 ,$0.00 ,"$100,180.29 "
133433,NORTHWOOD SCHOOL DISTRICT,MINONG,WI,School District,Cooperative Educational Service Agency 12 (16062644),FY2026-2030,3,Per Site Basis School District,372,,$201.57 ,,"$100,059.29 ",Forecast,$0.00 ,$0.00 ,"$100,059.29 "
133379,INDEPENDENCE SCHOOL DISTRICT,INDEPENDENCE,WI,School District,,FY2026-2030,3,Per Site Basis School District,382,,$201.57 ,,"$97,842.02 ",Forecast,$0.00 ,$0.00 ,"$97,842.02 "
133341,KICKAPOO AREA SCHOOL DIST,VIOLA,WI,School District,AJD Consulting Services (16062967),FY2026-2030,2,Per Site Basis School District,481,,$201.57 ,,"$96,955.17 ",Preliminary,$0.00 ,"$21,691.49 ","$75,263.68 "
133148,LENA PUBLIC SCHOOL DISTRICT,LENA,WI,School District,Federal Funds Assistant (16062923),FY2026-2030,3,Per Site Basis School District,419,,$201.57 ,,"$96,632.60 ",Forecast,$0.00 ,$0.00 ,"$96,632.60 "
61786,OUR LADY QUEEN OF PEACE SCHOOL,MADISON,WI,School,,FY2026-2030,0,Independent School,479,,$201.57 ,,"$96,552.03 ",Forecast,$0.00 ,$0.00 ,"$96,552.03 "
133166,WAUSAUKEE SCHOOL DISTRICT,WAUSAUKEE,WI,School District,Federal Funds Assistant (16062923),FY2026-2030,3,Per Site Basis School District,420,,$201.57 ,,"$96,431.03 ",Forecast,$0.00 ,$0.00 ,"$96,431.03 "
16057485,ST JOSEPH ACADEMY,MILWAUKEE,WI,School,QuinteSystems_Inc. (16062882),FY2026-2030,0,Independent School,473,,$201.57 ,,"$95,342.61 ",Forecast,$0.00 ,$0.00 ,"$95,342.61 "
133441,SOLON SPRINGS SCHOOL DISTRICT,SOLON SPRINGS,WI,School District,Cooperative Educational Service Agency 12 (16062644),FY2026-2030,3,Per Site Basis School District,285,,$201.57 ,,"$95,221.61 ",Forecast,$0.00 ,$0.00 ,"$95,221.61 "
133320,HILLSBORO SCHOOL DISTRICT,HILLSBORO,WI,School District,,FY2026-2030,2,Per Site Basis School District,471,,$201.57 ,,"$94,939.47 ",Forecast,$0.00 ,$0.00 ,"$94,939.47 "
133457,ALMOND-BANCROFT SCHOOL DIST,ALMOND,WI,School District,CESA 9 (16062593),FY2026-2030,3,Per Site Basis School District,345,,$201.57 ,,"$94,616.90 ",Preliminary,$0.00 ,"$38,857.60 ","$55,759.30 "
133419,DRUMMOND AREA SCHOOL DISTRICT,DRUMMOND,WI,School District,Cooperative Educational Service Agency 12 (16062644),FY2026-2030,3,Per Site Basis School District,322,,$201.57 ,,"$93,609.05 ",Forecast,$0.00 ,$0.00 ,"$93,609.05 "
60943,SHORELAND LUTHERAN HIGH SCHOOL,SOMERS,WI,School,Communications Audit Services (17021966),FY2026-2030,0,Independent School,463,,$201.57 ,,"$93,326.91 ",Preliminary,$0.00 ,"$50,421.13 ","$42,905.78 "
133000,BLACK HAWK SCHOOL DISTRICT,SOUTH WAYNE,WI,School District,Communications Audit Services (17021966); New Hope Technology (16054699),FY2026-2030,3,Per Site Basis School District,335,,$201.57 ,,"$93,205.91 ",Preliminary,$0.00 ,"$47,738.39 ","$45,467.52 "
16042012,TREVOR-WILMOT CONSOLIDATED GRADE SCHOOL DISTRICT,TREVOR,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,1,Per Site Basis School District,459,,$201.57 ,,"$92,520.63 ",Preliminary,$0.00 ,"$188,162.24 ","($95,641.61)"
221816,WAUKESHA CATHOLIC SCHOOL SYSTEM,WAUKESHA,WI,School District,Communications Audit Services (17021966); New Hope Technology (16054699),FY2026-2030,3,School District Wide (User Selected Aggregate),456,,$201.57 ,,"$91,915.92 ",Preliminary,$0.00 ,"$34,400.00 ","$57,515.92 "
133481,MARION SCHOOL DISTRICT,MARION,WI,School District,,FY2026-2030,2,Per Site Basis School District,454,,$201.57 ,,"$91,512.78 ",Forecast,$0.00 ,$0.00 ,"$91,512.78 "
16080465,CRISTO REY JESUIT MILWAUKEE HIGH SCHOOL,MILWAUKEE,WI,School,,FY2026-2030,0,Independent School,451,,$201.57 ,,"$90,908.07 ",Forecast,$0.00 ,$0.00 ,"$90,908.07 "
132993,ITHACA SCHOOL DISTRICT,RICHLAND CTR,WI,School District,,FY2026-2030,3,Per Site Basis School District,352,,$201.57 ,,"$90,585.50 ",Forecast,$0.00 ,$0.00 ,"$90,585.50 "
132999,SHULLSBURG SCHOOL DISTRICT,SHULLSBURG,WI,School District,,FY2026-2030,3,School District Wide (Aggregate Funding Floor),325,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
17007202,COOPERATIVE EDUCATION SERVICE AGENCY 5,PORTAGE,WI,School District,"Federal Funds Assistant (16062923); e2e Exchange, LLC (16043595)",FY2026-2030,3,School District Wide (Aggregate Funding Floor),46,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133290,PRENTICE SCHOOL DISTRICT,PRENTICE,WI,School District,CESA 9 (16062593),FY2026-2030,3,School District Wide (Aggregate Funding Floor),320,,$201.57 ,,"$90,525.00 ",Preliminary,$0.00 ,"$55,046.64 ","$35,478.36 "
133024,BENTON SCHOOL DISTRICT,BENTON,WI,School District,AJD Consulting Services (16062967); Telesolutions Consultants LLC (16043677),FY2026-2030,3,School District Wide (Aggregate Funding Floor),218,,$201.57 ,,"$90,525.00 ",Preliminary,$0.00 ,"$15,978.01 ","$74,546.99 "
132913,ALBANY SCHOOL DISTRICT,ALBANY,WI,School District,Communications Audit Services (17021966); New Hope Technology (16054699),FY2026-2030,3,School District Wide (Aggregate Funding Floor),282,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133377,LAKE HOLCOMBE SCHOOL DISTRICT,HOLCOMBE,WI,School District,CESA 10 (17026442),FY2026-2030,3,School District Wide (Aggregate Funding Floor),244,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133212,ELCHO SCHOOL DISTRICT,ELCHO,WI,School District,CESA 9 (16062593),FY2026-2030,3,School District Wide (Aggregate Funding Floor),243,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133388,PLUM CITY SCHOOL DISTRICT,PLUM CITY,WI,School District,CESA 10 (17026442),FY2026-2030,3,School District Wide (Aggregate Funding Floor),215,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
132792,STOCKBRIDGE SCHOOL DISTRICT,STOCKBRIDGE,WI,School District,,FY2026-2030,3,School District Wide (Aggregate Funding Floor),192,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133376,GILMANTON SCHOOL DISTRICT,GILMANTON,WI,School District,CESA 10 (17026442),FY2026-2030,3,School District Wide (Aggregate Funding Floor),121,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133214,GILMAN SCHOOL DISTRICT,GILMAN,WI,School District,CESA 10 (17026442),FY2026-2030,3,School District Wide (Aggregate Funding Floor),385,,$201.57 ,,"$90,525.00 ",Preliminary,$0.00 ,"$30,496.80 ","$60,028.20 "
132915,ARGYLE SCHOOL DISTRICT,ARGYLE,WI,School District,Educational Consortium for Telecom Savings (16024807),FY2026-2030,3,School District Wide (Aggregate Funding Floor),302,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
132978,MONTICELLO SCHOOL DISTRICT,MONTICELLO,WI,School District,Communications Audit Services (17021966); New Hope Technology (16054699),FY2026-2030,3,School District Wide (Aggregate Funding Floor),289,,$201.57 ,,"$90,525.00 ",Preliminary,$0.00 ,"$2,077.90 ","$88,447.10 "
133333,SENECA AREA SCHOOL DISTRICT,SENECA,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,3,School District Wide (Aggregate Funding Floor),253,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133452,WINTER SCHOOL DISTRICT,WINTER,WI,School District,Cooperative Educational Service Agency 12 (16062644),FY2026-2030,3,School District Wide (Aggregate Funding Floor),206,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133374,ELMWOOD SCHOOL DISTRICT,ELMWOOD,WI,School District,CESA #11 (17000269),FY2026-2030,3,School District Wide (Aggregate Funding Floor),312,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133103,CLAYTON SCHOOL DISTRICT,CLAYTON,WI,School District,CESA #11 (17000269),FY2026-2030,3,School District Wide (Aggregate Funding Floor),257,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133390,PRAIRIE FARM SCHOOL DISTRICT,PRAIRIE FARM,WI,School District,CESA #11 (17000269),FY2026-2030,3,School District Wide (Aggregate Funding Floor),323,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133060,WESTON SCHOOL DISTRICT,CAZENOVIA,WI,School District,AJD Consulting Services (16062967),FY2026-2030,3,School District Wide (Aggregate Funding Floor),287,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
132950,HIGHLAND SCHOOL DISTRICT,HIGHLAND,WI,School District,,FY2026-2030,3,School District Wide (Aggregate Funding Floor),297,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
133384,NEW AUBURN SCHOOL DISTRICT,NEW AUBURN,WI,School District,CESA 10 (17026442),FY2026-2030,3,School District Wide (Aggregate Funding Floor),279,,$201.57 ,,"$90,525.00 ",Preliminary,$0.00 ,"$13,056.00 ","$77,469.00 "
133253,WHITE LAKE SCHOOL DISTRICT,WHITE LAKE,WI,School District,CESA 9 (16062593),FY2026-2030,3,School District Wide (Aggregate Funding Floor),162,,$201.57 ,,"$90,525.00 ",Preliminary,$0.00 ,"$11,145.60 ","$79,379.40 "
133324,LA FARGE SCHOOL DISTRICT,LA FARGE,WI,School District,AJD Consulting Services (16062967),FY2026-2030,3,School District Wide (Aggregate Funding Floor),230,,$201.57 ,,"$90,525.00 ",Preliminary,$0.00 ,"$20,505.58 ","$70,019.42 "
133046,SCHOOL DISTRICT OF WAUZEKA-STEUBEN,WAUZEKA,WI,School District,,FY2026-2030,3,School District Wide (Aggregate Funding Floor),248,,$201.57 ,,"$90,525.00 ",Preliminary,$0.00 ,"$7,838.00 ","$82,687.00 "
133043,POTOSI SCHOOL DISTRICT,POTOSI,WI,School District,,FY2026-2030,3,School District Wide (Aggregate Funding Floor),331,,$201.57 ,,"$90,525.00 ",Forecast,$0.00 ,$0.00 ,"$90,525.00 "
132855,SILVER LAKE SALEM J 1 SCH DIST,SILVER LAKE,WI,School District,QuinteSystems_Inc. (16062882),FY2026-2030,1,Per Site Basis School District,449,,$201.57 ,,"$90,504.93 ",Forecast,$0.00 ,$0.00 ,"$90,504.93 "
133317,NORTH CRAWFORD SCHOOL DISTRICT,SOLDIERS GROVE,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,2,Per Site Basis School District,423,,$201.57 ,,"$90,242.86 ",Forecast,$0.00 ,$0.00 ,"$90,242.86 "
60465,LAKE COUNTRY ELEMENTARY SCHOOL DISTRICT,HARTLAND,WI,School,,FY2026-2030,0,Independent School,447,,$201.57 ,,"$90,101.79 ",Forecast,$0.00 ,$0.00 ,"$90,101.79 "
132885,MAPLE DALE-INDIAN HILL SCH DIST,MILWAUKEE,WI,School District,Educational Consortium for Telecom Savings (16024807),FY2026-2030,2,Per Site Basis School District,447,,$201.57 ,,"$90,101.79 ",Forecast,$0.00 ,$0.00 ,"$90,101.79 "
132866,BIG FOOT UNION HIGH SCHOOL DISTRICT,WALWORTH,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,1,Per Site Basis School District,446,,$201.57 ,,"$89,900.22 ",Preliminary,$0.00 ,"$89,900.22 ",$0.00 
16033992,21ST CENTURY PREPARATORY (D.B.A. RACINE CHARTER ONE),RACINE,WI,School,"e2e Exchange, LLC (16043595)",FY2026-2030,0,Independent School,445,,$201.57 ,,"$89,698.65 ",Preliminary,$0.00 ,"$32,374.09 ","$57,324.56 "
133152,NIAGARA SCHOOL DISTRICT,NIAGARA,WI,School District,,FY2026-2030,2,Per Site Basis School District,444,,$201.57 ,,"$89,497.08 ",Forecast,$0.00 ,$0.00 ,"$89,497.08 "
